,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
4,1,1,1,1,0.0,,50.0,1.0733333333333335,,411.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,193.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,1,2,1,1,0.0,,50.0,1.0733333333333335,,219.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,133.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,1,3,1,1,0.0,,50.0,1.0733333333333335,,63.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,105.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,1,4,1,1,0.0,,50.0,1.0733333333333335,,53.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,59.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,1,5,1,2,0.0,,50.0,1.0733333333333335,,367.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,157.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,1,6,1,2,0.0,,50.0,1.0733333333333335,,83.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,74.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,1,7,1,2,0.0,,50.0,1.0966666666666667,,56.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,33.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,1,8,1,2,0.0,,50.0,1.0966666666666667,,41.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,11.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,1,51,1,4,0.0,,90.0,1.0733333333333335,,685.0,2.14,298.0,,,100000.0,,0,,,0.0,260.0,758.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,1,52,1,4,0.0,,110.0,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,0.0,260.0,1706.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
299,1,52,1,4,0.0,,110.0,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,1200.0,260.0,1140.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
314,1,53,1,4,0.0,,125.4,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,2117.0,260.0,1128.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
357,1,51,1,4,0.0,,90.0,1.0733333333333335,,685.0,2.14,298.0,,,100000.0,,0,,,3.998911,260.0,779.8514,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
358,1,51,1,4,0.0,,90.0,1.0733333333333335,,685.0,2.14,298.0,,,100000.0,,0,,,37.73106,260.0,826.3419,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
359,1,51,1,4,0.0,,90.0,1.0733333333333335,,685.0,2.14,298.0,,,100000.0,,0,,,248.9525,260.0,983.1133,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
360,1,52,1,4,0.0,,110.0,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,7.024282,260.0,1494.707,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,1,52,1,4,0.0,,110.0,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,62.81426,260.0,1377.378,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,1,52,1,4,0.0,,110.0,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,571.8492,260.0,1218.425,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
363,1,54,1,4,0.0,,110.9054,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,2.796417,260.0,1206.038,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
364,1,54,1,4,0.0,,110.9054,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,27.59159,260.0,1157.736,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
365,1,54,1,4,0.0,,110.9054,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,185.3366,260.0,1096.329,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
366,1,55,1,4,0.0,,132.508,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,3.998911,260.0,921.5036,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
367,1,55,1,4,0.0,,132.508,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,28.85321,260.0,930.9683,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
368,1,55,1,4,0.0,,132.508,1.0733333333333335,,759.0,2.14,298.0,,,100000.0,,0,,,187.0013,260.0,890.644,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
669,1,76,1,8,0.0,,50.0,1.0966666666666667,,,,308.0,,,500000.0,,0,,,0.0,260.0,23.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
670,3,88,1,17,5.0,,48.801874999999995,1.12,,,,308.0,,,500000.0,,0,,,0.0,260.0,27.7,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
671,3,88,1,17,10.0,,48.801874999999995,1.12,,,,308.0,,,500000.0,,0,,,0.0,260.0,35.2,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
672,3,88,1,17,20.0,,48.801874999999995,1.12,,,,308.0,,,500000.0,,0,,,0.0,260.0,49.7,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
673,3,88,1,17,30.0,,48.801874999999995,1.12,,,,308.0,,,500000.0,,0,,,0.0,260.0,55.9,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
674,3,89,1,17,5.0,,48.801874999999995,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,28.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
675,3,89,1,17,10.0,,48.801874999999995,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,38.4,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
676,3,89,1,17,20.0,,48.801874999999995,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,47.3,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
677,3,89,1,17,30.0,,48.801874999999995,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,51.8,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
678,3,89,1,17,35.0,,48.801874999999995,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,55.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
689,3,89,1,17,30.0,,48.801874999999995,1.05,,,,318.0,,,500000.0,,0,,,0.0,260.0,54.2274052478136,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
690,3,89,1,17,30.0,,48.801874999999995,1.05,,,,328.0,,,500000.0,,0,,,0.0,260.0,58.1632653061227,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
691,3,89,1,17,30.0,,48.801874999999995,1.05,,,,338.0,,,500000.0,,0,,,0.0,260.0,66.0349854227409,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
695,3,88,1,17,20.0,,48.801874999999995,1.12,,,,318.0,,,500000.0,,0,,,0.0,260.0,52.4553571428571,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
696,3,88,1,17,20.0,,48.801874999999995,1.12,,,,328.0,,,500000.0,,0,,,0.0,260.0,55.0595238095237,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
697,3,88,1,17,20.0,,48.801874999999995,1.12,,,,338.0,,,500000.0,,0,,,0.0,260.0,58.0357142857143,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
701,3,89,1,17,30.0,,49.99625,1.05,,,,308.0,,,100000.0,,0,,,0.0,260.0,59.8240469208211,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
702,3,89,1,17,30.0,,49.99625,1.05,,,,308.0,,,200000.0,,0,,,0.0,260.0,58.9442815249266,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
703,3,89,1,17,30.0,,49.99625,1.05,,,,308.0,,,300000.0,,0,,,0.0,260.0,58.0645161290322,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
704,3,89,1,17,30.0,,48.801874999999995,1.05,,,,308.0,,,400000.0,,0,,,0.0,260.0,52.7859237536656,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
709,3,88,1,17,20.0,,49.99625,1.12,,,,308.0,,,100000.0,,0,,,0.0,260.0,59.9850968703428,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
710,3,88,1,17,20.0,,49.99625,1.12,,,,308.0,,,200000.0,,0,,,0.0,260.0,60.7302533532042,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
711,3,88,1,17,20.0,,49.99625,1.12,,,,308.0,,,300000.0,,0,,,0.0,260.0,57.3770491803279,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
712,3,88,1,17,20.0,,48.801874999999995,1.12,,,,308.0,,,400000.0,,0,,,0.0,260.0,52.9061102831595,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
12,1,1,1,1,0.0,,50.0,1.0733333333333335,,411.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,238.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
13,1,2,1,1,0.0,,50.0,1.0733333333333335,,219.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,159.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
14,1,3,1,1,0.0,,50.0,1.0733333333333335,,63.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,117.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
15,1,4,1,1,0.0,,50.0,1.0966666666666667,,53.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,55.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
16,1,5,1,2,0.0,,50.0,1.0733333333333335,,367.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,201.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
17,1,6,1,2,0.0,,50.0,1.0733333333333335,,83.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,78.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
18,1,7,1,2,0.0,,50.0,1.0966666666666667,,56.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,30.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
19,1,8,1,2,0.0,,50.0,1.0966666666666667,,41.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,8.4,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
104,2,21,2,3,0.0,,1.2,0.38,0.27,624.0,,298.0,303000.0,103000.0,200000.0,4.0,0,,,0.0,289.0,16584.7164760642,permeance,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
294,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,0.0,289.0,1740.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
295,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,0.0,289.0,4500.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
296,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,1200.0,289.0,2440.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
313,1,53,1,4,0.0,,125.4,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,2117.0,289.0,2418.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
345,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,4.006265,289.0,1794.516,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
346,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,118.6763,289.0,2088.031,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
347,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,248.4868,289.0,2171.911,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
348,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,7.004888,289.0,3792.69,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
349,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,63.15262,289.0,3269.442,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
350,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,346.8306,289.0,2612.795,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
351,1,54,1,4,0.0,,110.9054,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,2.793727,289.0,2967.348,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
352,1,54,1,4,0.0,,110.9054,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,27.56215,289.0,2726.003,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
353,1,54,1,4,0.0,,110.9054,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,186.2339,289.0,2436.925,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
354,1,55,1,4,0.0,,132.508,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,4.006265,289.0,2211.754,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
355,1,55,1,4,0.0,,132.508,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,29.09353,289.0,2171.911,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
356,1,55,1,4,0.0,,132.508,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,189.621,289.0,2038.03,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
722,1,90,6,8,0.0,,,,,,,303.0,,,100000.0,,340,,,0.0,289.0,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
726,3,91,6,18,5.0,,1.0,0.4793333333333333,,,,303.0,,,100000.0,,340,,,0.0,289.0,3.27067284536041,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
730,3,91,6,18,10.0,,,,,,,303.0,,,100000.0,,340,,,0.0,289.0,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
756,3,92,1,20,10.0,,15.0,0.394,,,2.01,298.0,,,100000.0,50.0,364,50.0,,0.0,289.0,432.8,permeability,table S3,LI W et al 2022,https://doi.org/10.1016/j.memsci.2021.120021
20,1,1,1,1,0.0,,50.0,1.2,,411.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,191.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
21,1,2,1,1,0.0,,50.0,1.2,,219.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,121.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
22,1,3,1,1,0.0,,50.0,1.2,,63.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,66.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
23,1,4,1,1,0.0,,50.0,1.2,,53.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,25.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
24,1,5,1,2,0.0,,50.0,1.2,,367.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,178.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
25,1,6,1,2,0.0,,50.0,1.2,,83.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,44.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
26,1,7,1,2,0.0,,50.0,1.2,,56.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,13.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
27,1,8,1,2,0.0,,50.0,1.2,,41.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,330.0,2.2,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
105,2,21,2,3,0.0,,1.2,0.38,0.27,624.0,,298.0,303000.0,103000.0,200000.0,4.0,0,,,0.0,330.0,23546.8531750975,permeance,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
178,1,24,1,4,0.0,,74.2,0.5646666666666665,,,0.79,293.0,120000.0,100000.0,20000.0,,260,,2.0,620.0,330.0,2688.0,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
180,3,25,1,5,0.5,,72.2,0.5646666666666665,,,0.81,293.0,120000.0,100000.0,20000.0,,260,,2.0,620.0,330.0,3495.0,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
182,3,25,1,5,0.8,,72.5,0.5646666666666665,,,0.84,293.0,120000.0,100000.0,20000.0,,260,,2.0,620.0,330.0,3331.0,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
306,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,0.0,330.0,4970.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
307,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,0.0,330.0,13300.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
308,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,1200.0,330.0,2840.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
311,1,53,1,4,0.0,,125.4,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,2117.0,330.0,3317.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
333,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,4.03483,330.0,4187.005,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
334,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,38.06997,330.0,3931.191,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
335,1,51,1,4,0.0,,90.0,0.38,,685.0,2.14,298.0,,,100000.0,,0,,,251.1886,330.0,3283.199,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
